,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,country,salary
0,39.0,gov,77516.0,undergrad,13.0,not_married,Adm-clerical,Not-in-family,White,Male,40,US,0
1,50.0,self_employed,83311.0,undergrad,13.0,married,Exec-managerial,Husband,White,Male,13,US,0
2,38.0,Private,215646.0,high school,9.0,other,Handlers-cleaners,Not-in-family,White,Male,40,US,0
3,53.0,Private,234721.0,school,7.0,married,Handlers-cleaners,Husband,Black,Male,40,US,0
4,28.0,Private,338409.0,undergrad,13.0,married,Prof-specialty,Wife,Black,Female,40,Non-US,0
5,37.0,Private,284582.0,grad,14.0,married,Exec-managerial,Wife,White,Female,40,US,0
6,49.0,Private,160187.0,school,5.0,other,Other-service,Not-in-family,Black,Female,16,Non-US,0
7,52.0,self_employed,209642.0,high school,9.0,married,Exec-managerial,Husband,White,Male,45,US,1
8,31.0,Private,45781.0,grad,14.0,not_married,Prof-specialty,Not-in-family,White,Female,50,US,1
9,42.0,Private,159449.0,undergrad,13.0,married,Exec-managerial,Husband,White,Male,40,US,1
10,37.0,Private,280464.0,higher,10.0,married,Exec-managerial,Husband,Black,Male,80,US,1
11,30.0,gov,141297.0,undergrad,13.0,married,Prof-specialty,Husband,Asian-Pac-Islander,Male,40,Non-US,1
12,23.0,Private,122272.0,undergrad,13.0,not_married,Adm-clerical,Own-child,White,Female,30,US,0
13,32.0,Private,205019.0,higher,12.0,not_married,Sales,Not-in-family,Black,Male,50,US,0
14,40.0,Private,121772.0,higher,11.0,married,Craft-repair,Husband,Asian-Pac-Islander,Male,40,US,1
15,34.0,Private,245487.0,school,4.5,married,Transport-moving,Husband,Amer-Indian-Eskimo,Male,45,Non-US,0
16,25.0,self_employed,176756.0,high school,9.0,not_married,Farming-fishing,Own-child,White,Male,35,US,0
17,32.0,Private,186824.0,high school,9.0,not_married,Machine-op-inspct,Unmarried,White,Male,40,US,0
18,38.0,Private,28887.0,school,7.0,married,Sales,Husband,White,Male,50,US,0
19,43.0,self_employed,292175.0,grad,14.0,other,Exec-managerial,Unmarried,White,Female,45,US,1
20,40.0,Private,193524.0,doc,16.0,married,Prof-specialty,Husband,White,Male,60,US,1
21,54.0,Private,302146.0,high school,9.0,other,Other-service,Unmarried,Black,Female,20,US,0
22,35.0,gov,76845.0,school,5.0,married,Farming-fishing,Husband,Black,Male,40,US,0
23,43.0,Private,117037.0,school,7.0,married,Transport-moving,Husband,White,Male,40,US,0
24,59.0,Private,109015.0,high school,9.0,other,Tech-support,Unmarried,White,Female,40,US,0
25,56.0,gov,216851.0,undergrad,13.0,married,Tech-support,Husband,White,Male,40,US,1
26,19.0,Private,168294.0,high school,9.0,not_married,Craft-repair,Own-child,White,Male,40,US,0
27,54.0,Private,180211.0,higher,10.0,married,Prof-specialty,Husband,Asian-Pac-Islander,Male,60,Non-US,1
28,39.0,Private,367260.0,high school,9.0,other,Exec-managerial,Not-in-family,White,Male,80,US,0
29,49.0,Private,193366.0,high school,9.0,married,Craft-repair,Husband,White,Male,40,US,0
30,23.0,gov,190709.0,higher,12.0,not_married,Protective-serv,Not-in-family,White,Male,52,US,0
31,20.0,Private,266015.0,higher,10.0,not_married,Sales,Own-child,Black,Male,44,US,0
32,45.0,Private,386940.0,undergrad,13.0,other,Exec-managerial,Own-child,White,Male,40,US,0
33,30.0,gov,59951.0,higher,10.0,married,Adm-clerical,Own-child,White,Male,40,US,0
34,22.0,gov,311512.0,higher,10.0,married,Other-service,Husband,Black,Male,15,US,0
35,48.0,Private,242406.0,school,7.0,not_married,Machine-op-inspct,Unmarried,White,Male,40,Non-US,0
36,21.0,Private,197200.0,higher,10.0,not_married,Machine-op-inspct,Own-child,White,Male,40,US,0
37,19.0,Private,415887.0,high school,9.0,married,Adm-clerical,Wife,White,Female,25,US,0
38,31.0,Private,84154.0,higher,10.0,married,Sales,Husband,White,Male,38,US,1
39,48.0,self_employed,265477.0,higher,12.0,married,Prof-specialty,Husband,White,Male,40,US,0
40,31.0,Private,415887.0,school,5.0,married,Machine-op-inspct,Husband,White,Male,43,US,0
41,53.0,self_employed,88506.0,undergrad,13.0,married,Prof-specialty,Husband,White,Male,40,US,0
42,24.0,Private,172987.0,undergrad,13.0,married,Tech-support,Husband,White,Male,50,US,0
