age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,country,salary
39,1,77516,5,13,1,0,1,4,1,40,1,0
50,2,83311,5,13,0,3,0,4,1,13,1,0
38,0,215646,2,9,2,5,1,4,1,40,1,0
53,0,234721,4,7,0,5,0,2,1,40,1,0
28,0,338409,5,13,0,9,5,2,0,40,0,0
37,0,284582,1,14,0,3,5,4,0,40,1,0
49,0,160187,4,5,2,7,1,2,0,16,0,0
52,2,209642,2,9,0,3,0,4,1,45,1,1
31,0,45781,1,14,1,9,1,4,0,50,1,1
42,0,159449,5,13,0,3,0,4,1,40,1,1
37,0,280464,3,10,0,3,0,2,1,80,1,1
30,1,141297,5,13,0,9,0,1,1,40,0,1
23,0,122272,5,13,1,0,3,4,0,30,1,0
32,0,205019,3,12,1,11,1,2,1,50,1,0
40,0,121772,3,11,0,2,0,1,1,40,1,1
34,0,245487,4,4.5,0,13,0,0,1,45,0,0
25,2,176756,2,9,1,4,3,4,1,35,1,0
32,0,186824,2,9,1,6,4,4,1,40,1,0
38,0,28887,4,7,0,11,0,4,1,50,1,0
43,2,292175,1,14,2,3,4,4,0,45,1,1
40,0,193524,0,16,0,9,0,4,1,60,1,1
54,0,302146,2,9,2,7,4,2,0,20,1,0
35,1,76845,4,5,0,4,0,2,1,40,1,0
43,0,117037,4,7,0,13,0,4,1,40,1,0
59,0,109015,2,9,2,12,4,4,0,40,1,0
56,1,216851,5,13,0,12,0,4,1,40,1,1
19,0,168294,2,9,1,2,3,4,1,40,1,0
54,0,180211,3,10,0,9,0,1,1,60,0,1
39,0,367260,2,9,2,3,1,4,1,80,1,0
49,0,193366,2,9,0,2,0,4,1,40,1,0
23,1,190709,3,12,1,10,1,4,1,52,1,0
20,0,266015,3,10,1,11,3,2,1,44,1,0
45,0,386940,5,13,2,3,3,4,1,40,1,0
30,1,59951,3,10,0,0,3,4,1,40,1,0
22,1,311512,3,10,0,7,0,2,1,15,1,0
