,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,country,salary
13165,28.0,0,38309.0,3,11.0,0,0,0,4,1,40,1,0
1467,49.0,0,101320.0,1,14.0,2,3,1,4,0,75,1,0
39823,66.40296320719682,1,190667.7664169851,0,15.80098773573227,0,9,0,4,0,49,1,1
6726,28.0,0,32291.0,5,13.0,1,9,1,4,0,40,1,0
10883,46.0,0,81497.0,2,9.0,2,5,1,4,0,48,1,0
17778,39.0,0,387068.0,2,9.0,0,3,0,4,1,40,1,1
13187,45.0,1,415887.0,2,9.0,0,2,0,2,1,40,1,1
17023,24.0,0,326334.0,5,13.0,1,9,3,4,1,20,1,0
13616,37.0,2,163998.0,3,12.0,0,11,0,4,1,50,1,1
8124,36.0,0,172104.0,3,15.0,1,9,1,3,1,40,0,1
7602,61.0,2,156653.0,2,9.0,2,11,1,4,1,55,1,0
36460,43.779379115327174,0,87268.38100554324,3,14.604582418816182,0,7,0,4,0,32,1,1
11586,27.0,0,156516.0,3,10.0,0,0,5,2,0,20,1,0
3303,47.0,0,415887.0,5,13.0,0,7,0,4,1,40,0,0
6344,46.0,1,80057.0,2,9.0,0,0,0,4,1,40,0,1
10102,61.0,0,179761.0,2,9.0,0,9,0,4,1,40,1,1
27742,22.0,0,415887.0,2,9.0,1,0,3,4,0,40,0,0
923,38.0,0,97083.0,3,10.0,0,0,5,2,0,40,1,0
39118,43.96756051848578,0,216226.1946368891,5,13.0,0,7,0,4,1,42,0,1
3601,32.0,0,96016.0,5,13.0,1,9,1,4,1,45,1,0
11072,45.0,2,106517.0,2,9.0,2,3,1,4,0,40,1,0
3875,30.0,0,23778.0,4,4.5,2,5,1,4,1,40,1,0
6870,30.0,0,170154.0,5,13.0,1,12,1,4,0,40,1,1
7030,24.0,0,39615.0,5,13.0,1,11,1,4,1,45,1,0
25867,67.0,0,228200.0,2,9.0,0,8,5,2,0,20,1,0
4346,54.0,0,100933.0,2,9.0,1,0,4,4,0,40,1,0
24895,46.0,1,207677.0,5,13.0,0,10,0,4,1,40,1,1
32942,29.931252483754193,0,134889.06874751626,3,11.465626241877096,0,5,1,4,0,42,1,1
41385,42.932151456057916,1,116344.13569708788,1,14.0,0,3,3,3,0,46,0,1
8543,62.0,0,191188.0,2,9.0,0,9,0,4,1,40,1,0
6008,51.0,0,114927.0,3,11.0,0,12,0,4,1,40,1,1
20979,28.0,0,123147.0,3,10.0,1,12,1,4,0,40,1,0
32046,32.0,0,206609.0,5,13.0,0,3,0,4,1,60,1,1
39310,64.09168312930679,1,415887.0,3,6.052390359603876,0,3,0,4,1,40,1,1
44799,40.02184824968569,0,103324.92994605652,2,9.908097806832469,0,2,0,4,1,40,1,1
15904,42.0,1,180985.0,4,6.0,0,5,0,4,1,40,1,1
29644,46.0,0,148995.0,2,9.0,0,11,0,4,1,40,1,1
2625,45.0,2,160167.0,4,6.0,0,2,0,4,1,70,1,0
18815,35.0,0,334999.0,2,9.0,0,11,0,4,1,45,1,0
30613,18.0,0,128538.0,4,7.0,1,11,3,4,0,25,1,0
27633,32.0,1,19302.0,3,12.0,0,10,0,4,1,56,0,1
13714,37.0,0,190987.0,3,10.0,0,11,5,4,0,40,1,1
45365,46.04741928601252,0,194761.04532178913,3,11.95258071398748,0,6,0,4,1,43,1,1
20645,44.0,0,320984.0,5,13.0,0,11,0,4,1,60,1,1
42956,68.96207972871633,1,285400.12902475166,3,14.861912714941651,0,9,0,3,0,29,1,1
45488,49.55819491240468,0,109822.18052329012,3,14.61045127189883,0,7,0,4,1,45,1,1
34831,33.53018545419837,0,141844.64060678548,4,12.858617212213769,0,3,0,2,1,40,1,1
18465,65.0,0,173674.0,2,9.0,2,7,2,4,0,14,1,0
13840,34.0,0,277314.0,3,12.0,0,11,0,2,1,50,1,1
21529,47.0,1,323798.0,5,13.0,0,3,0,4,1,40,1,1
31757,34.0,0,143582.0,3,10.0,1,0,1,1,0,35,0,0
37248,57.202562964778615,0,56255.99267724349,2,9.399633862174484,0,9,0,4,0,63,1,1
31799,52.0,2,42984.0,3,15.0,0,9,0,4,1,70,1,1
36940,42.47020883189019,0,102603.8370393733,4,12.623832934487849,0,11,0,4,1,39,1,1
5786,43.0,0,361280.0,4,6.0,0,2,0,1,1,42,0,0
47217,37.714812371551965,1,109133.0,1,13.429624743103933,0,5,0,4,1,62,1,1
42982,38.21085184479898,0,162716.47036180762,2,8.508109686338422,0,2,0,4,1,45,1,1
43605,36.89660525669095,1,186360.75771063624,2,9.103394743309055,0,10,0,3,1,58,1,1
7991,37.0,0,118486.0,5,13.0,2,9,4,4,0,32,1,1
39698,36.0,0,306578.529658297,2,9.58378016693693,0,11,4,4,0,42,1,1
2357,47.0,0,415887.0,2,9.0,0,7,0,4,1,40,1,1
42009,49.42539385213829,0,159893.86028698442,3,11.425393852138296,1,3,0,2,1,46,1,1
16902,52.0,0,137428.0,2,9.0,2,13,1,4,1,45,1,0
1398,51.0,0,246519.0,4,6.0,0,5,0,4,1,45,1,0
35270,46.93028733195513,0,247908.78740772148,4,12.762286073767806,0,3,0,2,1,40,1,1
22060,67.0,0,209137.0,5,13.0,0,9,0,4,1,40,1,0
43446,34.78238837320397,0,138669.3934929583,2,9.203701528366167,0,0,0,4,1,50,1,1
28926,31.0,0,197886.0,3,10.0,0,11,0,4,1,45,1,1
9282,52.0,0,256916.0,2,9.0,0,3,0,4,1,40,1,0
29464,52.0,1,236497.0,5,13.0,0,12,0,4,1,40,1,0
36810,35.0,0,241998.0,2,9.465186817552148,0,2,0,4,1,40,1,1
40825,69.25319997190259,1,66627.28186671945,4,12.89413333163046,0,3,0,4,1,58,1,1
17149,49.0,0,225124.0,2,9.0,2,7,3,2,0,40,1,0
34135,33.668955520865126,1,34096.05493250076,1,12.675822083460496,0,9,0,4,1,38,1,1
48214,31.38572484879515,0,242485.92759402725,2,9.769389264113592,0,6,0,4,1,40,1,1
15297,42.0,2,119207.0,2,9.0,1,3,1,4,1,48,1,0
13089,30.0,2,226535.0,4,4.5,0,4,0,4,1,40,0,0
470,60.0,0,201965.0,3,10.0,1,9,4,4,1,40,1,1
22791,39.0,2,372525.0,1,14.0,0,3,0,4,1,60,1,1
16896,17.0,0,270587.0,4,7.0,1,7,3,4,1,20,0,0
9040,28.0,0,103802.0,5,13.0,1,3,3,4,0,40,1,0
10092,22.0,1,347803.0,3,10.0,1,0,1,3,1,20,1,0
49281,47.04615628348338,0,53885.15382787387,3,9.280767555105175,0,12,0,4,1,40,1,1
28396,30.0,0,128016.0,5,13.0,1,3,1,4,0,55,1,0
18407,32.0,0,257043.0,2,9.0,1,0,1,4,0,42,1,0
25823,31.0,0,87418.0,3,11.0,0,3,0,4,1,40,1,0
7971,30.0,0,104965.0,4,5.0,1,9,1,4,0,30,1,0
38793,35.460279996047866,0,207068.0712599822,4,12.923286667325355,0,10,0,4,1,44,1,1
19628,36.0,1,76767.0,3,10.0,2,3,1,4,0,39,1,0
12568,53.0,1,204447.0,1,14.0,0,3,0,4,1,43,1,1
36745,29.497056552238394,0,137477.47045896703,4,13.0414213793532,0,9,4,3,0,35,0,1
42989,40.92554292518993,1,94110.54291653127,3,14.776628775569787,0,8,0,4,1,58,1,1
48945,43.51069772996273,1,188410.92358764313,4,11.504584741412597,0,9,0,4,1,42,1,1
44467,31.110252756625293,0,273018.7432792916,5,13.0,0,3,0,4,1,48,0,1
11901,40.0,0,214242.0,2,9.0,0,6,0,4,1,50,1,0
18796,68.0,0,144056.0,2,9.0,0,0,0,4,1,40,1,0
3643,31.0,1,33308.0,3,11.0,0,2,0,4,1,40,1,0
9727,30.0,0,375827.0,2,9.0,1,5,2,4,1,40,1,0
33213,47.965863325925056,0,136159.42701139097,2,12.400209567149986,0,6,0,4,1,55,1,1
33323,66.75063267371196,0,169782.23165246236,5,13.0,0,8,0,4,1,41,1,1
46668,52.290630034309636,0,110974.70138063774,0,15.947158175580066,1,3,1,4,1,40,1,1
8503,37.0,0,294292.0,3,15.0,0,3,0,4,1,40,1,0
9395,31.0,0,210008.0,2,9.0,1,11,3,4,0,40,1,0
3248,46.0,2,278322.0,5,13.0,0,11,0,4,1,45,1,0
8915,41.0,0,216116.0,2,9.0,2,0,4,2,0,40,1,0
24482,51.0,0,61270.0,2,9.0,0,5,0,4,1,40,1,1
25278,46.0,1,415887.0,5,13.0,0,13,0,2,1,40,1,0
29849,27.0,0,190391.0,3,10.0,0,3,0,4,1,40,1,0
10101,26.0,0,239043.0,4,7.0,1,7,1,4,1,40,1,0
32676,40.3643834349521,1,170866.20243524163,2,12.080974096656023,0,3,0,4,1,49,1,1
37055,64.62177400503762,0,115513.84241244332,5,13.0,0,9,0,4,1,47,1,1
47173,31.57131557816162,0,127633.42393870463,3,10.71473768735352,0,2,2,4,0,44,1,1
17589,40.0,1,95639.0,2,9.0,1,2,2,0,1,40,1,0
45430,51.0,0,186329.6511821627,2,9.954150609978292,0,4,0,4,1,40,1,1
